name,english,german,mandarin,korean,japanese,spanish
login.your,Your,Sie,您,당신,あなたの,Tu
login.digitalWallet,digital wallet in one-click,digitale Geldbörse mit einem Klick,注册/登录,한 번의 클릭으로 디지털 지갑,ワンクリックでデジタルウォレットを,billetera digital en un sólo click
login.signUpIn,Sign up/in with,Anmelden / Anmelden mit,注册/登录,가입 / 로그인,サインアップ/サインイン,Registrarse / entrar con
login.slide1Title,Send and receive digital currencies via email,Senden und empfangen Sie digitale Währungen per E-Mail,通过电子邮件发送和接收数字货币,이메일을 통해 디지털 통화를주고받습니다.,メールアドレスを使って仮想通貨を送受信,Envía y recibe monedas digitales usando email
login.slide1Subtitle1,Transacting on blockchain has never been easier.,Transaktionen in Blockchain waren noch nie einfacher.,在区块链上进行交易从未如此简单。,블록 체인에서의 거래가 훨씬 쉬워졌습니다.,ブロックチェーンを使うことで取引が簡単に行えるようになりました。,La manera más fácil de hacer transacción en blockchain.
login.slide1Subtitle2,An email is all you need to get started.,"Eine E-Mail ist alles, was Sie brauchen, um loszulegen.",电子邮件是您入门所需的全部。,이메일을 시작하기 만하면됩니다.,メールアドレスさえあれば開始できます。,Sólo ocupas un email para empezar.
login.slide2Title,Purchase digital currencies globally with credit card,Kaufen Sie digitale Währungen weltweit mit Kreditkarte,使用信用卡在全球范围内购买数字货币,신용 카드로 전 세계 디지털 통화 구매,クレジットカードで仮想通貨を購入,Compra monedas digitales con tu tarjeta de crédito
login.slide2Subtitle1,Choose from a range of providers,Wählen Sie aus einem Sortimentsanbieter,从范围提供商中选择,범위 제공자 중에서 선택,販売者を選択,Escoge desde nuestra lista de proveedores
login.slide2Subtitle2,Get currencies at one of the most competitive rates,Holen Sie sich Währungen zu einem der wettbewerbsfähigsten Kurse,以最具竞争力的价格获得货币,가장 경쟁력있는 환율 중 하나로 통화하십시오,もっともお得なレートを取得,Obtén monedas a los mejores rates
login.slide3Title,Interact with thousands of apps on the blockchain,Interagiere mit Tausenden von Apps in der Blockchain,与区块链上的数千个应用程序进行交互,블록 체인에서 수천 개의 앱과 상호 작용,ブロックチェーン上の様々なアプリを利用する,Interactúa con miles de app en la red blockchain
login.slide3Subtitle1,"From Finance, Games, Exchanges and more","Von Finanzen, Spielen, Börsen und mehr",来自金融，游戏，交易所等,"금융, 게임, 거래소 등",ファイナンス、ゲーム、エクスチェンジなど,"Desde finanzas, juegos, intercambios y más"
login.slide3Subtitle2,Access the decentralised world with Torus,Greifen Sie mit Torus auf die dezentrale Welt zu,使用Torus进入去中心化世界,Torus로 탈 중앙화 세계에 접근,世界中のブロックチェーンアプリにTorusを通じてアクセス,Accede el mundo decentralizado con Torus
login.slideBinance1Title,Create your new Binance Smart Chain Wallet to earn BNB,"Erstellen Sie Ihre neue Binance Smart Chain Wallet, um BNB zu verdienen",创建新的Binance Smart Chain Wallet以赚取BNB,새로운 Binance Smart Chain Wallet을 만들어 BNB를 획득하세요,新しいBinanceSmart Chain Walletを作成して、BNBを獲得しましょう,Crea tu nueva Binance Smart Chain Wallet para ganar BNB
login.slideBinance1Subtitle1,The first 5000 users who create their Binance Smart Chain wallets on Torus will get BNB airdropped into their wallets.,"Die ersten 5000 Benutzer, die ihre Binance Smart Chain Brieftaschen auf Torus erstellen, erhalten BNB in ihre Brieftaschen.",在Torus上创建Binance Smart Chain钱包的前5000个用户将BNB空投到他们的钱包中。,Torus에서 Binance Smart Chain 지갑을 생성 한 처음 5000 명의 사용자는 BNB를 지갑으로 에어 드랍합니다.,TorusでBinanceSmart Chainウォレットを作成した最初の5000人のユーザーは、BNBをウォレットに空中投下します。,Los primeros 5000 usuarios que creen sus carteras de Binance Smart Chain en Torus recibirán BNB en sus carteras.
login.learnMore,Learn More,Erfahren Sie mehr,更多详情,더 알아보기,詳細を見る,Más información
login.loginError,Something went wrong. Please reload and try again,Etwas ist schief gelaufen. Bitte neu laden und erneut versuchen,出问题了。请重新加载，然后重试,문제가 발생했습니다. 다시로드하고 다시 시도하십시오,問題が発生しました。再読み込みしてもう一度お試しください,Ha ocurrido un error. Por favor refresca y trata de nuevo
login.visitOurWebsite,Visit our website,Besuche unsere Webseite,访问我们的网站,우리 홈페이지에 방문 해주세요,当社のウェブサイトを訪問,Visita nuestro website
login.emailOnItsWay,An email is on its way!,Eine E-Mail ist unterwegs!,一封电子邮件正在发送中！,이메일이 왔습니다!,メールが送信されています！,Recibirás pronto un email!
login.linkSent,"A magic link has been sent to {email}, so you can sign in to Torus Wallet instantly!","Ein magischer Link wurde an {email} gesendet, sodass Sie sich sofort bei Torus Wallet anmelden können!",魔术链接已发送到{email}，因此您可以立即登录Torus Wallet！,매직 링크가 {email} (으)로 전송되었으므로 Torus Wallet에 즉시 로그인 할 수 있습니다!,マジックリンクが{email}に送信されたので、すぐにTorus Walletにサインインできます！,Hemos enviado un link de activación a {email} para que puedas iniciar sesión en tu billetera Torus de forma instantánea
login.linkExpire,"The link expires in 24 hours, so be sure sure to use it soon",Der Link läuft in 24 Stunden ab. Verwenden Sie ihn daher bald,该链接将在24小时后失效，因此请确保尽快使用它,링크는 24 시간 후에 만료되므로 곧 사용해야합니다.,リンクの有効期限は24時間です。必ずすぐに使用してください,El link expirará en 24 horas. Asegúrate de usarlo pronto
login.enterYourEmail,Enter your email,Geben sie ihre E-Mail Adresse ein,输入你的电子邮箱,이메일을 입력하십시오,メールアドレスを入力,Ingresa tu email
login.enterEmail,Enter Email,Email eingeben,输入电子邮件,이메일 입력,メールアドレスを入力して,Ingresa tu email
login.sendLink,Send Magic Link,Senden Sie Magic Link,发送魔术链接,매직 링크 보내기,マジックリンクを送る,Enviar link de activación
login.invalid_user_password,"Error, incorrect verification code entered","Fehler, falscher Bestätigungscode eingegeben",错误，输入了错误的验证码,"오류, 잘못된 인증 코드가 입력되었습니다",エラー、不正な確認コードが入力されました,"Error, código de verificación incorrecto"
login.errorVerifyEmail,Please verify your email first,Bitte überprüfen Sie zuerst Ihre E-Mail-Adresse,请先验证您的电子邮件,먼저 이메일을 확인하십시오,最初にメールアドレスを確認してください,Por favor verifique su correo electrónico primero
login.note,Note,Hinweis,注意,주의,備考,la nota
login.dataPrivacy,Web3Auth does not store any data related to your social logins.,Web3Auth speichert keine Daten in Bezug auf Ihre sozialen Logins.,Web3Auth不存储与您的社交登录相关的任何数据。,Web3Auth는 소셜 로그인과 관련된 데이터를 저장하지 않습니다.,Web3Authは、ソーシャルログインに関連するデータを保存しません。,Web3Auth no almacena ningún dato relacionado con sus inicios de sesión sociales.
tkeyCreate.yourSignedIn,You're signed in,Du bist angemeldet,您已登录,로그인했습니다,ログインしています,Estás registrado
tkeyCreate.walletAddress,Wallet Address,Brieftaschenadresse,钱包地址,지갑 주소,ウォレットアドレス,Dirección de billetera
tkeyCreate.setUpWallet,Setup your tKey account,Richten Sie Ihr tKey-Konto ein,设置您的tKey帐户,tKey 계정 설정,tKeyアカウントを設定します,Configura tu cuenta tKey
tkeyCreate.greatCreated,Great! You are all set up!,Toll! Sie sind alle eingerichtet!,大！你们都准备好了！,큰! 설정이 완료되었습니다!,すごい！これで準備は完了です。,¡Excelente! ¡Ya está todo listo!
tkeyCreate.walletAddressDesc,"This is your unique address, similar to a bank account number used to receive payments.","Dies ist Ihre eindeutige Adresse, ähnlich einer Bankkontonummer, die zum Empfangen von Zahlungen verwendet wird.",这是您的唯一地址，类似于用于接收付款的银行帐号。,지급금을받는 데 사용되는 은행 계좌 번호와 유사한 고유 주소입니다.,これは、支払いを受け取るために使用される銀行口座番号に似た、あなたの一意の住所です。,"Esta es su dirección única, similar a un número de cuenta bancaria que se utiliza para recibir pagos."
tkeyCreateAdd.selfCustodial,Self-custodial,Selbstverwahrung,自我监护,자기 관리,自己管理,Auto-custodia
tkeyCreateAdd.access,Access with or without {verifier},Zugriff mit oder ohne {verifier},使用或不使用{verifier}均可访问,{verifier} 유무에 관계없이 액세스,{verifier}の有無にかかわらずアクセス,Accede con o sin {verifier}
tkeyCreateAdd.secureAssets,Secure your assets,Sichern Sie Ihr Vermögen,保护您的资产,자산 보호,資産を保護する,Asegure sus activos
tkeyCreateAdd.notNow,Not now,Nicht jetzt,现在不要,지금은 아니야,今はやめろ,Ahora no
tkeyCreateAdd.sureLetsAdd,"Sure, let's add one","Klar, lassen Sie uns einen hinzufügen",当然，让我们添加一个,물론입니다. 하나 추가하겠습니다.,確かに、1つ追加しましょう,"Claro, agreguemos uno"
tkeyCreateAdd.tryTkey,Try out tKey,Probieren Sie tKey aus,试用tKey,tKey 사용해보기,tKeyをお試しください,Prueba tKey
tkeyCreateAdd.tryTkeyDesc,A separate account with added security,Ein separates Konto mit zusätzlicher Sicherheit,具有增强安全性的单独帐户,보안이 강화 된 별도의 계정,セキュリティが強化された別のアカウント,Una cuenta separada con mayor seguridad
tkeyCreateAdd.tkeyIs1,tKey is a,tKey ist ein,tKey是一个,tKey는,tKeyは,TKey es un
tkeyCreateAdd.tkeyIs2,"separate, secure account","separates, sicheres Konto",独立的安全帐户,별도의 안전한 계정,個別の安全なアカウント,cuenta separada y segura
tkeyCreateAdd.tkeyIs3,that allows you to retrieve your private key when you lose access to your login.,"Auf diese Weise können Sie Ihren privaten Schlüssel abrufen, wenn Sie den Zugriff auf Ihr Login verlieren.",当您无法登录时，可以使用它检索私钥。,로그인에 액세스 할 수 없을 때 개인 키를 검색 할 수 있습니다.,これにより、ログインにアクセスできなくなったときに秘密鍵を取得できます。,que le permite recuperar su clave privada cuando pierde el acceso a su inicio de sesión.
tkeyCreateAdd.tkeyUseful,"This is useful for users who would like to have more control over their account, especially when they have a significant sum in their wallet in future.","Dies ist nützlich für Benutzer, die mehr Kontrolle über ihr Konto haben möchten, insbesondere wenn sie in Zukunft eine erhebliche Summe in ihrer Brieftasche haben.",这对于希望对自己的帐户有更多控制权的用户很有用，尤其是在将来他们的钱包中有大量现金时。,이는 특히 향후 지갑에 상당한 금액이있을 때 자신의 계정을 더 많이 제어하려는 사용자에게 유용합니다.,これは、アカウントをより細かく制御したいユーザー、特に将来ウォレットに多額の金額がある場合に役立ちます。,"Esto es útil para los usuarios que desean tener más control sobre su cuenta, especialmente cuando tienen una suma significativa en su billetera en el futuro."
tkeyCreateAdd.learnMore,Learn more about tKey,Erfahren Sie mehr über tKey,了解有关tKey的更多信息,tKey에 대해 더 알아보기,tKeyの詳細,Más información sobre tKey
tkeyCreateAdd.skip,Skip,Überspringen,跳跃,건너 뛰기,スキップ,Omitir
tkeyCreateAdd.letsTry,Let's try it out!,Probieren wir es aus!,让我们尝试一下！,시도 해보자!,やってみよう！,¡Probémoslo!
tkeyCreateAdd.continue,Continue,Fortsetzen,继续,계속하다,継続する,Seguir
tkeyCreateAdd.noWorry,"Don't worry, it is free","Mach dir keine Sorgen, es ist kostenlos",不用担心，它是免费的,"걱정하지 마세요, 무료입니다",心配しないでください、それは無料です,No te preocupes es gratis
tkeyCreateAdd.settingUp,Setting up your tKey,Einrichten Ihres Schlüssels,设置您的tKey,tKey 설정,tKeyの設定,Configurando su tKey
tkeyCreateAdd.multipleFactors,Multiple factors of authentication,Mehrere Authentifizierungsfaktoren,认证的多重因素,여러 인증 요소,認証の複数の要素,Múltiples factores de autenticación
tkeyCreateAdd.socialLogin,Social login,Sozialer Login,社交登录,소셜 로그인,ソーシャルログイン,Inicio de sesión social
tkeyCreateAdd.socialLoginDesc,"Eg Google, Twitter, GitHub etc","ZB Google, Twitter, GitHub usw.",例如Google，Twitter，GitHub等,"예 : Google, Twitter, GitHub 등",例：Google、Twitter、GitHubなど,"Por ejemplo, Google, Twitter, GitHub, etc."
tkeyCreateAdd.browser,Browser,Browser,浏览器,브라우저,ブラウザ,Navegador
tkeyCreateAdd.browserDesc,"MacOS Chrome, Safari, Opera","MacOS Chrome, Safari, Opera","MacOS Chrome, Safari, Opera","MacOS Chrome, Safari, Opera",MacOS Chrome、Safari、Opera,"MacOS Chrome, Safari, Opera"
tkeyCreateAdd.password,Password,Passwort,密码,암호,パスワード,Contraseña
tkeyCreateAdd.passwordDesc,Password or Download a file,Passwort oder Datei herunterladen,密码或下载文件,비밀번호 또는 파일 다운로드,パスワードまたはファイルのダウンロード,Contraseña o descargar un archivo
tkeyCreateAdd.tkeyManaged,"Your tKey account is managed by your login (e.g. Google), your device, and a password. Set up your account and access it with any two of the authentication factors during each login.","Ihr tKey-Konto wird von Ihrem Login (z. B. Google), Ihrem Gerät und einem Passwort verwaltet. Richten Sie Ihr Konto ein und greifen Sie bei jeder Anmeldung mit zwei beliebigen Authentifizierungsfaktoren darauf zu.",您的tKey帐户由您的登录名（例如Google），设备和密码来管理。设置您的帐户，并在每次登录时使用任意两个身份验证因子进行访问。,"tKey 계정은 로그인 (예 : Google), 기기 및 비밀번호로 관리됩니다. 계정을 설정하고 로그인 할 때마다 두 가지 인증 요소를 사용하여 액세스하십시오.",tKeyアカウントは、ログイン（Googleなど）、デバイス、およびパスワードによって管理されます。アカウントを設定し、ログインするたびに2つの認証要素を使用してアカウントにアクセスします。,"Su cuenta tKey es administrada por su nombre de usuario (por ejemplo, Google), su dispositivo y una contraseña. Configure su cuenta y acceda a ella con dos de los factores de autenticación durante cada inicio de sesión."
tkeyCreateAdd.of,of,von,之,중,の,de
tkeyCreateSetup.walletAuth,Account authentication factors,Kontoauthentifizierungsfaktoren,帐户认证因素,계정 인증 요인,アカウント認証要素,Factores de autenticación de cuenta
tkeyCreateSetup.youWouldRequire1,You would require any,Sie würden keine benötigen,您需要任何,당신은,あなたは,Necesitarías cualquier
tkeyCreateSetup.youWouldRequire2,TWO,ZWEI,ZWEI,두,二,DOS
tkeyCreateSetup.youWouldRequire3,of the following to authenticate and access your tKey account.,"der folgenden Optionen, um Ihr tKey-Konto zu authentifizieren und darauf zuzugreifen.",以下内容用于验证和访问您的tKey帐户。,다음 중 tKey 계정을 인증하고 액세스합니다.,次のいずれかを使用して、tKeyアカウントを認証およびアクセスします。,de los siguientes para autenticar y acceder a su cuenta tKey.
tkeyCreateSetup.authFactors,Authentication factors,Authentifizierungsfaktoren,认证因素,인증 요인,認証要素,Factores de autenticación
tkeyCreateSetup.average,Average,Durchschnittlich,平均,평균,平均,Promedio
tkeyCreateSetup.good,Good,Gut,好,좋은,良い,Bueno
tkeyCreateSetup.excellent,Excellent,Ausgezeichnet,优秀的,우수한,優れた,Excelente
tkeyCreateSetup.youNeedBackupPassword,You need to backup on device storage or set up a recovery password to create your tKey account,"Sie müssen eine Sicherungskopie im Gerätespeicher erstellen oder ein Wiederherstellungskennwort einrichten, um Ihr tKey-Konto zu erstellen",您需要备份设备存储或设置恢复密码才能创建tKey帐户,tKey 계정을 생성하려면 장치 저장소에 백업하거나 복구 암호를 설정해야합니다.,tKeyアカウントを作成するには、デバイスストレージにバックアップするか、回復パスワードを設定する必要があります,Necesita hacer una copia de seguridad en el almacenamiento del dispositivo o configurar una contraseña de recuperación para crear su cuenta tKey
tkeyCreateSetup.youNeedPassword,You may want to set up a recovery password in case you lose your device.,"Möglicherweise möchten Sie ein Wiederherstellungskennwort einrichten, falls Sie Ihr Gerät verlieren.",您可能需要设置恢复密码，以防设备丢失。,기기를 분실 한 경우를 대비하여 복구 비밀번호를 설정하는 것이 좋습니다.,デバイスを紛失した場合に備えて、回復パスワードを設定することをお勧めします。,Es posible que desee configurar una contraseña de recuperación en caso de que pierda su dispositivo.
tkeyCreateSetup.youNeedBackup,You may want to backup on device storage in case you forget your password,"Sie können eine Sicherungskopie im Gerätespeicher erstellen, falls Sie Ihr Kennwort vergessen haben",您可能希望备份设备存储，以防忘记密码,비밀번호를 잊어 버린 경우 장치 저장소에 백업 할 수 있습니다.,パスワードを忘れた場合に備えて、デバイスのストレージにバックアップすることをお勧めします,Es posible que desee realizar una copia de seguridad en el almacenamiento del dispositivo en caso de que olvide su contraseña
tkeyCreateSetup.youHaveSufficient,You have sufficient authentication factors for your tKey account. Bravo!,Sie haben ausreichende Authentifizierungsfaktoren für Ihr tKey-Konto. Bravo!,您的tKey帐户具有足够的身份验证因素。太棒了！,tKey 계정에 대한 충분한 인증 요소가 있습니다. 브라보!,tKeyアカウントに十分な認証要素があります。ブラボー！,Tiene suficientes factores de autenticación para su cuenta tKey. ¡Bravo!
tkeyCreateSetup.authViaBrowser1,Authentication via browser is limited to the cookies stored.,Die Authentifizierung über den Browser ist auf die gespeicherten Cookies beschränkt.,通过浏览器的身份验证仅限于存储的cookie。,브라우저를 통한 인증은 저장된 쿠키로 제한됩니다.,ブラウザ経由の認証は、保存されているCookieに限定されます。,La autenticación a través del navegador se limita a las cookies almacenadas.
tkeyCreateSetup.authViaBrowser2, Click to,Klicke um,点击到,클릭,クリックして,Haga clic para
tkeyCreateSetup.authViaBrowser3,allow device storage as backup.,Gerätespeicher als Backup zulassen.,允许设备存储作为备份。,장치 저장을 백업으로 허용하십시오.,バックアップとしてデバイスストレージを許可します。,permitir el almacenamiento del dispositivo como copia de seguridad.
tkeyCreateSetup.browser,Browser,Browser,浏览器,브라우저,ブラウザ,Navegador
tkeyCreateSetup.backupOnDevice,Allow device storage as backup. ,Gerätespeicher als Backup zulassen.,允许设备存储作为备份。,장치 저장소를 백업으로 허용합니다.,デバイスのストレージをバックアップとして許可します。,Permita el almacenamiento del dispositivo como respaldo.
tkeyCreateSetup.recoveryPass,tKey Password,tKey Passwort,tKey密码,tKey 비밀번호,tKeyパスワード,tKey Contraseña
tkeyCreateSetup.minAlphaNumeric,Min 10 alphanumeric characters,Mindestens 10 alphanumerische Zeichen,最少10个字母数字字符,최소 10 자리 영숫자,10文字以上の英数字,Mínimo 10 caracteres alfanuméricos
tkeyCreateSetup.confirmPassword,Retype password,Passwort erneut eingeben,重新输入密码,비밀번호 재 입력,パスワードを再入力してください,Vuelva a escribir la contraseña
tkeyCreateSetup.passwordRules,"Must contain at least 10 characters. At least one uppercase letter, one lowercase letter, one number","Muss mindestens 10 Zeichen enthalten. Mindestens ein Großbuchstabe, ein Kleinbuchstabe und eine Zahl",必须至少包含10个字符。 至少一个大写字母，一个小写字母和一个数字,"10 자 이상이어야합니다. 하나 이상의 대문자, 하나의 소문자 및 하나의 숫자",10文字以上である必要があります。 少なくとも1つの大文字、1つの小文字、および1つの数字,"Debe contener al menos 10 caracteres. Al menos una letra mayúscula, una letra minúscula y un número"
tkeyCreateSetup.passwordMatch,Password must match,Passwort muss übereinstimmen,密码必须匹配,암호가 일치해야합니다,パスワードが一致している必要があります,Contraseña debe coincidir con
tkeyCreateSetup.iUnderstand,"I understand that I need at least two authentication factors to access my tKey account. Otherwise,  I lose access to my tKey account.","Ich verstehe, dass ich mindestens zwei Authentifizierungsfaktoren benötige, um auf mein tKey-Konto zuzugreifen. Andernfalls verliere ich den Zugriff auf mein tKey-Konto.",我了解我至少需要两个身份验证因素才能访问我的tKey帐户。否则，我将无法访问我的tKey帐户。,내 tKey 계정에 액세스하려면 최소한 두 가지 인증 요소가 필요하다는 것을 이해합니다. 그렇지 않으면 내 tKey 계정에 액세스 할 수 없습니다.,tKeyアカウントにアクセスするには、少なくとも2つの認証要素が必要であることを理解しています。そうしないと、tKeyアカウントにアクセスできなくなります。,"Entiendo que necesito al menos dos factores de autenticación para acceder a mi cuenta tKey. De lo contrario, pierdo el acceso a mi cuenta tKey."
tkeyNew.setPassword,Set password,Passwort festlegen,设置密码,암호를 설정하세요,パスワードを設定してください,Configurar la clave
tkeyCreateSetup.cancel,Cancel,Stornieren,取消,취소,キャンセル,Cancelar
tkeyCreateSetup.createWallet,Create tKey account,Erstellen Sie ein tKey-Konto,创建tKey账户,tKey 계정 생성,tKeyアカウントを作成する,Crear cuenta tKey
tkeyCreateDone.success,tKey successfully created!,tKey erfolgreich erstellt!,tKey创建成功！,tKey가 성공적으로 생성되었습니다!,tKeyが正常に作成されました！,¡tKey creada correctamente!
tkeyCreateDone.selectDefault,Select your default account,Wählen Sie Ihr Standardkonto,选择您的默认帐户,기본 계정 선택,デフォルトのアカウントを選択します,Seleccione su cuenta predeterminada
tkeyCreateDone.theDefaultAccount,You will use this account whenever you sign in. You can change this anytime in your settings.,Sie werden dieses Konto bei jeder Anmeldung verwenden. Sie können dies jederzeit in Ihren Einstellungen ändern.,每次登录时都将使用此帐户。您可以随时在设置中更改此帐户。,로그인 할 때마다이 계정을 사용하게됩니다. 언제든지 설정에서 변경할 수 있습니다.,サインインするたびにこのアカウントを使用します。これは設定でいつでも変更できます。,Utilizará esta cuenta cada vez que inicie sesión. Puede cambiar esto en cualquier momento en su configuración.
tkeyCreateDone.yourWallet,Your tKey Account,Ihr tKey-Konto,您的tKey账户,귀하의 tKey 계정,あなたのtKeyアカウント,Tu cuenta tKey
tkeyCreateDone.yourSeedPhrase,Your Seed Phrase Account,Ihr Seed Phrase Account,您的种子短语帐户,귀하의 Seed Phrase 계정,あなたのシードフレーズアカウント,Su cuenta de frase de semillas
tkeyCreateDone.walletAddress,Wallet address,Brieftaschenadresse,钱包地址,지갑 주소,ウォレットアドレス,Dirección de billetera
tkeyCreateDone.letsExplore,Let's explore,Lass uns erforschen,让我们来探索,탐험하자,探検しよう,Vamos a explorar
tkeyNew.verificationReq,Verification required,Bestätigung notwendig,需要验证,확인 필요,確認が必要です,Verificación requerida
tkeyNew.youAreAccessing,It seems like you trying to login from a new device/browser.,"Anscheinend versuchen Sie, sich von einem neuen Gerät / Browser aus anzumelden.",似乎您尝试从新设备/浏览器登录。,새 기기 / 브라우저에서 로그인하려는 것 같습니다.,新しいデバイス/ブラウザからログインしようとしているようです。,Parece que está intentando iniciar sesión desde un nuevo dispositivo / navegador.
tkeyNew.verifyYourIdentity,Verify your identity,Bestätigen Sie Ihre Identität,验证您的身份,신원 확인,本人確認,Verifica tu identidad
tkeyNew.verifyWithPass,Please enter the password associated with this account to continue.,"Bitte geben Sie das diesem Konto zugeordnete Passwort ein, um fortzufahren.",请输入与此帐户关联的密码以继续。,계속하려면이 계정과 연결된 암호를 입력하십시오.,続行するには、このアカウントに関連付けられているパスワードを入力してください。,Ingrese la contraseña asociada con esta cuenta para continuar.
tkeyNew.verifyWithAny,with any of the following,mit einer der folgenden,具有以下任何一项,다음 중 하나로,次のいずれか,con cualquiera de los siguientes
tkeyNew.verifyWithTheFf,with the following,mit den folgenden,与以下,다음과 함께,次の,con lo siguiente
tkeyNew.accountRecovery,Account Recovery,Konto-Wiederherstellung,帐户恢复,계정 복구,アカウント復旧,Recuperación de Cuenta
tkeyNew.verificationMethods,Verification methods,Überprüfungsmethoden,验证方式,검증 방법,検証方法,Métodos de verificación
tkeyNew.identifyVerified,Identity verified,Identität überprüft,身份验证,신원 확인,本人確認済み,Identidad verificada
tkeyNew.returnToNewPlatform,Return to your new platform to continue with the login,"Kehren Sie zu Ihrer neuen Plattform zurück, um mit der Anmeldung fortzufahren",返回您的新平台以继续登录,로그인을 계속하려면 새 플랫폼으로 돌아가십시오.,ログインを続行するには、新しいプラットフォームに戻ってください,Regrese a su nueva plataforma para continuar con el inicio de sesión
tkeyNew.newLoginDetected,New login detected,Neues Login erkannt,检测到新登录,새 로그인 감지,新しいログインが検出されました,Nuevo inicio de sesión detectado
tkeyNew.newLoginTrying,A new login is trying to access your tKey account.,"Ein neues Login versucht, auf Ihr tKey-Konto zuzugreifen.",新的登录名正在尝试访问您的tKey帐户。,새 로그인으로 tKey 계정에 액세스하려고합니다.,新しいログインがtKeyアカウントにアクセスしようとしています。,Un nuevo inicio de sesión está intentando acceder a su cuenta tKey.
tkeyNew.matchRefId1,Match the Reference ID,Passen Sie die Referenz-ID an,匹配参考编号,참조 ID와 일치,参照IDと一致する,Coincidir con el ID de referencia
tkeyNew.matchRefId2,and confirm this is you,"und bestätige, dass du es bist",并确认这是你,그리고 이것이 당신인지 확인하십시오,これがあなたであることを確認します,y confirma que eres tú
tkeyNew.newDeviceAdded,New device and browser added,Neues Gerät und neuer Browser hinzugefügt,添加了新设备和浏览器,새 장치 및 브라우저 추가,新しいデバイスとブラウザが追加されました,Se agregaron un nuevo dispositivo y navegador
tkeyNew.theFollowing,The following has been added as an authenticator.,Folgendes wurde als Authentifikator hinzugefügt.,以下已添加为验证者。,다음이 인증 자로 추가되었습니다.,オーセンティケーターとして以下を追加しました。,Se ha agregado lo siguiente como autenticador.
