name,english,german,mandarin,korean,japanese,spanish
login.2fa-setup-step1-sub1,Enable 2 Factor Authentication (2FA),2-Faktor-Authentifizierung (2FA) aktivieren,启用 2 因素身份验证 (2FA),2단계 인증(2FA) 활성화,2要素認証（2FA）を有効にする,Habilitar la autenticación de 2 factores (2FA)
login.2fa-setup-step1-sub2,Add an extra layer of security to your account,Fügen Sie Ihrem Konto eine zusätzliche Sicherheitsebene hinzu,为您的帐户添加额外的安全层,계정에 보안 계층 추가,アカウントにセキュリティの層を追加します,Agregue una capa adicional de seguridad a su cuenta
login.2fa-setup-step1-sub3,Add an extra layer of security to your account and safekeep your assets.,Fügen Sie Ihrem Konto eine zusätzliche Sicherheitsebene hinzu und bewahren Sie Ihre Vermögenswerte sicher auf.,为您的帐户添加额外的安全层并妥善保管您的资产。,계정에 보안 계층을 추가하고 자산을 보호하십시오.,アカウントにセキュリティの層を追加し、資産を保護します。,Agregue una capa adicional de seguridad a su cuenta y proteja sus activos.
login.2fa-setup-step1-desc1,Each login requires 2 factors for authentication,Jede Anmeldung erfordert 2 Faktoren zur Authentifizierung,每次登录需要 2 个身份验证因素,각 로그인에는 인증을 위해 2가지 요소가 필요합니다.,各ログインには、認証のために2つの要素が必要です,Cada inicio de sesión requiere 2 factores para la autenticación
login.2fa-setup-step1-desc21,We highly recommend a 2FA set up for an active user like yourself.,Wir empfehlen dringend ein 2FA-Setup für einen aktiven Benutzer wie Sie.,我们强烈建议为像您这样的活跃用户设置 2FA。,귀하와 같은 활성 사용자를 위해 2FA 설정을 적극 권장합니다.,あなたのようなアクティブユーザーには2FAを設定することを強くお勧めします。,Recomendamos encarecidamente una configuración 2FA para un usuario activo como usted.
login.2fa-setup-step1-desc22,Set it up in 3 simple steps!,Richten Sie es in 3 einfachen Schritten ein!,只需 3 个简单的步骤即可完成设置！,간단한 3단계로 설정하세요!,3つの簡単なステップでセットアップしてください！,¡Configúralo en 3 sencillos pasos!
login.2fa-setup-step1-cancel,Maybe next time,Vielleicht nächstes Mal,下次吧,아마 다음 번에,また今度,Quizás la próxima vez
login.2fa-setup-step1-next,Set up 2FA,2FA einrichten,设置 2FA,2FA 설정,2FAを設定する,Configurar 2FA
login.2fa-setup-step2-sub1,Set up using current browser,Mit aktuellem Browser einrichten,使用当前浏览器设置,현재 브라우저를 사용하여 설정,現在のブラウザを使用して設定,Configurar usando el navegador actual
login.2fa-setup-step2-sub2,Use the current browser to approve access from new devices/browsers.,"Verwenden Sie den aktuellen Browser, um den Zugriff von neuen Geräten/Browsern zu genehmigen.",使用当前浏览器批准来自新设备/浏览器的访问。,현재 브라우저를 사용하여 새 장치/브라우저에서 액세스를 승인합니다.,現在のブラウザを使用して、新しいデバイス/ブラウザからのアクセスを承認します。,Utilice el navegador actual para aprobar el acceso desde nuevos dispositivos / navegadores.
login.2fa-setup-step2-current-browser,Current browser,Aktueller Browser,当前浏览器,현재 브라우저,現在のブラウザ,Navegador actual
login.2fa-setup-step2-confirm-note,I understand that clearing browser history and cookies will delete this factor on my browser.,"Mir ist bewusst, dass das Löschen des Browserverlaufs und der Cookies diesen Faktor in meinem Browser löscht.",我了解清除浏览器历史记录和 cookie 将删除我浏览器上的这个因素。,브라우저 기록 및 쿠키를 지우면 내 브라우저에서 이 요소가 삭제된다는 것을 이해합니다.,ブラウザの履歴とCookieをクリアすると、ブラウザのこの要素が削除されることを理解しています。,Entiendo que borrar el historial del navegador y las cookies eliminará este factor en mi navegador.
login.2fa-setup-step2-cancel,Back,Zurück,后退,뒤,戻る,atrás
login.2fa-setup-step2-next,Continue,Weitermachen,继续,계속하다,継続する,Continuar
login.2fa-setup-step2-save-device,Save current device,Aktuelles Gerät speichern,保存当前设备,현재 장치 저장,現在のデバイスを保存,Guardar dispositivo actual
login.2fa-setup-step3-sub1,Provide an email to receive recovery phrase,"Geben Sie eine E-Mail an, um die Wiederherstellungsphrase zu erhalten",提供电子邮件以接收恢复短语,복구 문구를 받을 이메일 제공,回復フレーズを受け取るための電子メールを提供する,Proporcione un correo electrónico para recibir la frase de recuperación
login.mpc-2fa-setup-step3-sub1,Provide an email to receive recovery factor,"Geben Sie eine E-Mail an, um die Wiederherstellungsphrase zu erhalten",提供电子邮件以接收恢复短语,복구 문구를 받을 이메일 제공,回復フレーズを受け取るための電子メールを提供する,Proporcione un correo electrónico para recibir la frase de recuperación
login.2fa-setup-step3-sub2,"In case you lose access to your saved browser, you can authenticate with your recovery phrase.","Falls Sie den Zugriff auf Ihren gespeicherten Browser verlieren, können Sie sich mit Ihrer Wiederherstellungsphrase authentifizieren.",如果您无法访问保存的浏览器，您可以使用恢复短语进行身份验证。,저장된 브라우저에 액세스할 수 없는 경우 복구 문구로 인증할 수 있습니다.,保存したブラウザにアクセスできなくなった場合は、リカバリフレーズで認証できます。,"En caso de que pierda el acceso a su navegador guardado, puede autenticarse con su frase de recuperación."
login.mpc-2fa-setup-step3-sub2,"In case you lose access to your saved browser, you can authenticate with your recovery factor.","Falls Sie den Zugriff auf Ihren gespeicherten Browser verlieren, können Sie sich mit Ihrer Wiederherstellungsphrase authentifizieren.",如果您无法访问保存的浏览器，您可以使用恢复短语进行身份验证。,저장된 브라우저에 액세스할 수 없는 경우 복구 문구로 인증할 수 있습니다.,保存したブラウザにアクセスできなくなった場合は、リカバリフレーズで認証できます。,"En caso de que pierda el acceso a su navegador guardado, puede autenticarse con su frase de recuperación."
login.2fa-setup-step3-sub21,Paste your recovery phrase sent to {0},"Fügen Sie Ihren Wiederherstellungssatz ein, der an {0} gesendet wurde",粘贴您发送到 {0} 的辅助短语,{0}(으)로 전송된 복구 문구를 붙여넣으세요.,{0}に送信されたリカバリフレーズを貼り付けます,Pegue su frase de recuperación enviada a {0}
login.2fa-setup-step3-sub22,"I know that if I lose this recovery phrase, I will bear the risk of losing my account.","Ich weiß, dass ich das Risiko trage, mein Konto zu verlieren, wenn ich diesen Wiederherstellungssatz verliere.",我知道如果我丢失了这个恢复短语，我将承担丢失帐户的风险。,이 복구 문구를 잃어버리면 계정을 잃을 위험을 감수해야 한다는 것을 알고 있습니다.,この回復フレーズを失った場合、アカウントを失うリスクを負うことを私は知っています。,"Sé que si pierdo esta frase de recuperación, correré el riesgo de perder mi cuenta."
login.2fa-setup-step3-note11,Note:,Notiz:,笔记：,메모:,ノート：,Nota:
login.2fa-setup-step3-note12,You will need to confirm this phrase on the next screen,Sie müssen diesen Satz auf dem nächsten Bildschirm bestätigen,您需要在下一个屏幕上确认此短语,다음 화면에서 이 문구를 확인해야 합니다.,次の画面でこのフレーズを確認する必要があります,Deberá confirmar esta frase en la siguiente pantalla
login.2fa-setup-step3-email,Email,Email,电子邮件,이메일,Eメール,Correo electrónico
login.2fa-setup-step3-enter-email,Enter your email address,Geben sie ihre E-Mailadresse ein,输入你的电子邮箱地址,이메일 주소를 입력하세요,メールアドレスを入力してください,Ingrese su dirección de correo electrónico
login.2fa-setup-step3-manual-save,Manually save your phrase,Speichern Sie Ihren Satz manuell,手动保存您的短语,수동으로 문구 저장,フレーズを手動で保存する,Guarde manualmente su frase
login.2fa-setup-step3-download-phrase,Download phrase,Redewendung herunterladen,下载短语,구문 다운로드,フレーズをダウンロード,Descargar frase
login.2fa-setup-step3-copy-phrase,Copy phrase,Satz kopieren,复制短语,문구 복사,フレーズをコピーする,Copiar frase
