name,english,german,mandarin,korean,japanese,spanish
account.export-share-note,Note: This recovery phrase is 1 of the factors needed to authenticate your account. Keep it somewhere safe as a part of your account recovery in the future.,"Hinweis: Dieser Wiederherstellungssatz ist einer der Faktoren, die zur Authentifizierung Ihres Kontos erforderlich sind. Bewahren Sie es für die zukünftige Kontowiederherstellung an einem sicheren Ort auf.",注意：此恢复短语是验证您的帐户所需的因素之一。 将其保存在安全的地方，作为将来恢复帐户的一部分。,참고: 이 복구 문구는 계정을 인증하는 데 필요한 요소 중 하나입니다. 향후 계정 복구의 일환으로 안전한 곳에 보관하십시오.,注：この回復フレーズは、アカウントの認証に必要な要素の1つです。 将来のアカウント復旧の一環として、安全な場所に保管してください。,Nota: Esta frase de recuperación es uno de los factores necesarios para autenticar su cuenta. Guárdelo en un lugar seguro como parte de la recuperación de su cuenta en el futuro.
account.mpc-export-share-note,Note: This recovery factor is 1 of the factors needed to authenticate your account. Keep it somewhere safe as a part of your account recovery in the future.,"Hinweis: Dieser Wiederherstellungsfaktor ist einer der Faktoren, die zur Authentifizierung Ihres Kontos erforderlich sind. Bewahren Sie es im Rahmen Ihrer zukünftigen Kontowiederherstellung an einem sicheren Ort auf.",注意：此恢复因素是验证您的帐户所需的因素之一。将其保存在安全的地方，作为您未来帐户恢复的一部分。,참고: 이 복구 요소는 계정을 인증하는 데 필요한 요소 중 하나입니다. 향후 계정 복구의 일환으로 안전한 곳에 보관하십시오.,注: この回復要素は、アカウントの認証に必要な要素の 1 つです。将来のアカウント復旧の一環として、安全な場所に保管してください。,Nota: este factor de recuperación es uno de los factores necesarios para autenticar su cuenta. Manténgalo en un lugar seguro como parte de la recuperación de su cuenta en el futuro.
account.export-onkey-note,Increase your account security by enabling 2FA,"Erhöhen Sie die Sicherheit Ihres Kontos, indem Sie 2FA aktivieren",通过启用 2FA 提高您的帐户安全性,2FA를 활성화하여 계정 보안 강화,2FAを有効にして、アカウントのセキュリティを強化します,Aumente la seguridad de su cuenta habilitando 2FA
account.export-onkey-not-setup,Not setup yet,Noch nicht eingerichtet,尚未设置,아직 설정되지 않음,まだセットアップされていません,Aún no configurado
account.export-onkey-setup,Set it up,Es einrichten,设置它,설정,準備する,Prepararlo
account.export-onkey-2fa,Two-factor authentication,,,,,
account.export-onkey-2fa-recommend,We strongly recommend you to enable 2FA on your account,,,,,
account.export-onkey-2fa-enable,Enable 2FA,,,,,
account.delete-share-title,Delete authentication factor,,,,,
account.remove-share-button,Remove share,,,,,
account.delete-share-desc-1,Be very sure as,,,,,
account.delete-share-desc-2,this action is permanent and cannot be undone.,,,,,
