name,english,german,mandarin,korean,japanese,spanish
common.toast-backup-phase-send-success,Backup Phrase successfully sent,Sicherungssatz erfolgreich gesendet,备份词组已成功发送,백업 문구를 성공적으로 보냈습니다.,バックアップフレーズが正常に送信されました,Frase de seguridad enviada con éxito
common.toast-backup-phase-send-fail,Unable to send Backup Phrase,Sicherungssatz kann nicht gesendet werden,无法发送备份短语,백업 문구를 보낼 수 없습니다.,バックアップフレーズを送信できません,No se pudo enviar la frase de respaldo
common.toast-backup-phase-email-send-success,Backup Phrase sent to your email,Sicherungssatz an Ihre E-Mail gesendet,备用词组已发送到您的电子邮件,이메일로 전송 된 백업 문구,メールに送信されたバックアップフレーズ,Frase de seguridad enviada a su correo electrónico
common.toast-recovery-share-delete-success,Recovery share deleted successfully,Wiederherstellungsfreigabe erfolgreich gelöscht,恢复共享已成功删除,복구 공유가 성공적으로 삭제되었습니다.,リカバリ共有が正常に削除されました,El recurso compartido de recuperación se eliminó correctamente
common.toast-recovery-share-delete-fail,Recovery share deletion failed,Das Löschen der Wiederherstellungsfreigabe ist fehlgeschlagen,恢复共享删除失败,복구 공유 삭제 실패,リカバリ共有の削除に失敗しました,Error al eliminar el recurso compartido de recuperación
common.toast-something-went-wrong,Something went wrong,Etwas ist schief gelaufen,出问题了,문제가 발생했습니다,何かがうまくいかなかった,Algo salió mal
common.toast-registration-failed,Registration failed,Registrierung fehlgeschlagen,注册失败,등록 실패,登録に失敗しました,Registro fallido
common.toast-require-verification,Require another verification input,Benötigen Sie eine weitere Überprüfungseingabe,需要其他验证输入,다른 확인 입력 필요,別の検証入力が必要,Requerir otra entrada de verificación
common.toast-share-transfer-fail,Share transfer failed,Freigabeübertragung fehlgeschlagen,股份转让失败,공유 전송 실패,共有の転送に失敗しました,Error al transferir el recurso compartido
common.toast-backup-share-verification-fail,Backup Share verification failed,Überprüfung der Sicherungsfreigabe fehlgeschlagen,备份共享验证失败,백업 공유 확인 실패,バックアップ共有の検証に失敗しました,Error en la verificación del recurso compartido de copia de seguridad
common.toast-password-verification-fail,Password verification failed,Passwortüberprüfung fehlgeschlagen,密码验证失败,비밀번호 확인 실패,パスワードの確認に失敗しました,Falló la verificación de la contraseña
common.toast-password-change-success,Password successfully changed,Passwort erfolgreich geändert,密码修改成功,비밀번호가 성공적으로 변경되었습니다.,パスワードが正常に変更されました,Contraseña cambiada correctamente
common.toast-password-change-fail,Password change unsuccessful,Passwortänderung nicht erfolgreich,密码更改失败,비밀번호 변경 실패,パスワードの変更に失敗しました,Cambio de contraseña fallido
common.selfCustodial,Self-custodial login by,Selbstverwahrungs-Login durch,自托管登录由,자가 관리 로그인,による自己管理ログイン,Inicio de sesión con autocustodia por
common.toast-backup-phase-email-send-timeout,Timeout when sending Backup phrase to your email. Please download Backup phrase instead,,,,,
