name,english,german,mandarin,korean,japanese,spanish
walletHome.assets,Assets,Vermögenswerte,资产,자산,資産,Activos
walletHome.returnHome,Return Home,Nach Hause zurückkehren,回家,집에 돌아 간다,帰宅,Regresar a Home
walletHome.topupTitle,Congratulations,Herzliche Glückwünsche,恭喜啦,축하합니다,おめでとう,Felicidades
walletHome.topupDetails1,Good work in completing your first Top up.,Gute Arbeit bei der Fertigstellung Ihrer ersten Aufladung.,在完成您的第一个充值方面做得很好。,첫 번째 탑업을 완료하는 데 도움이됩니다.,最初のトップアップを完了するには良い仕事です。,Buen trabajo completando tu primer depósito.
walletHome.topupDetails2,You are all set up!,Sie sind alle eingerichtet!,你们都准备好了！,당신은 모두 설정되었습니다!,これで準備は完了です。,Todo listo para empezar!
walletHome.topupTransactionTitle,Well Done,Gut gemacht,做得好,잘 했어,よくやった,Bien Hecho
walletHome.topupTransactionDetails1,You just made your first transaction.,Sie haben gerade Ihre erste Transaktion durchgeführt.,您刚刚完成了第一笔交易。,방금 첫 거래를하셨습니다.,あなたは最初の取引をしました。,Haz hecho tu primera transacción. 
walletHome.topupTransactionDetails2,You are definitely on the right track!,Sie sind definitiv auf dem richtigen Weg!,您绝对是在正确的轨道上！,당신은 확실히 올바른 길을 가고 있습니다!,あなたは間違いなく正しい軌道に乗っています！,Estás en la dirección correcta!
walletHome.collectiblesTitle,You nailed it,Du hast den Nagel auf den Kopf getroffen,你钉了,니가 끝냈어,あなたはそれを釘付けにした,Lo has hecho mucho bien!
walletHome.collectiblesDetails1,You have started your first collection.,Sie haben Ihre erste Sammlung gestartet.,您已开始第一个收藏。,첫 번째 컬렉션을 시작했습니다.,最初のコレクションを開始しました。,Haz empezado tu primera colección.
walletHome.collectiblesDetails2,Keep it going!,Lass es laufen!,保持下去！,계속해!,続けて！,Continúa!
walletHome.walletCreated,Torus Wallet created,Torus Wallet erstellt,创建Torus钱包,Torus Wallet이 생성되었습니다,トーラスウォレットが作成されました,Billetera Torus creada
walletHome.topUpWallet,Top-up your<br/>Wallet,Laden Sie Ihre Brieftasche auf,充值电子钱包,월렛 충전,ウォレットにチャージする,Depositar en tu<br/>Billetera
walletHome.conductFirstTransaction,Conduct your<br/>first Transaction,Führen Sie Ihre erste Transaktion durch,进行第一次交易,첫 거래 수행,最初の取引を行う,Realiza tu<br/>Primera Transacción
walletHome.getFirstCollectible,Get your first Collectible from OpenSea,Holen Sie sich Ihr erstes Sammlerstück bei OpenSea,从OpenSea获得第一个收藏品,OpenSea에서 첫 소장품 받기,OpenSeaから最初のグッズを入手する,Obtén tu primer coleccionable con OpenSea
walletHome.goToTopUp,Go to Top-up Page,Gehen Sie zur Aufladeseite,转到充值页面,톱 페이지로 이동,トップページへ,Ir a Depositar
walletHome.goToTransfer,Go to Transfer Page,Gehen Sie zur Übertragungsseite,转到转移页面,전송 페이지로 이동,転送ページに移動,Ir a Transferir
walletHome.goToOpensea,Go to OpenSea,Gehen Sie zu OpenSea,前往OpenSea,OpenSea로 이동,OpenSeaに移動,Ir a OpenSea
walletHome.auth0Title,Passwordless Login,Passwortloses Login,无密码登录,비밀번호없는 로그인,パスワードなしのログイン,Iniciar sesión sin password
walletHome.showAllTokens,Show all Tokens,Alle Token anzeigen,显示所有代币,모든 토큰 표시,すべてのトークンを表示,Mostrar todas las fichas
walletHome.verifyLogin,Verify login,Überprüfen Sie die Anmeldung,验证登录,로그인 확인,ログインを確認,Verificar inicio de sesión
walletHome.verifyLoginDesc1,A login to this account is detected from a new device.,Se detecta un inicio de sesión en esta cuenta desde un nuevo dispositivo.,从新设备检测到该帐户的登录。,이 계정에 대한 로그인은 새 장치에서 감지됩니다.,このアカウントへのログインは、新しいデバイスから検出されます。,Se detecta un inicio de sesión en esta cuenta desde un nuevo dispositivo.
walletHome.verifyLoginDesc2,Please proceed to your 'Settings' page to view the request.,"Vaya a la página ""Configuración"" para ver la solicitud.",请进入“设置”页面以查看请求。,요청을 보려면 '설정'페이지로 이동하십시오.,リクエストを表示するには、[設定]ページに進んでください。,"Vaya a la página ""Configuración"" para ver la solicitud."
walletHome.goSettings,Go Settings,Ir a Configuración,转到设置,이동 설정,設定に行く,Ir a Configuración
homeToken.addTokenHere,Add Token here,Token hier hinzufügen,在此处添加令牌,여기에 토큰 추가,ここにトークンを追加,Agregar token aquí
homeToken.addTokens,Add Tokens,Token hinzufügen,添加令牌,토큰 추가,トークンを追加する,Agregar tokens
homeToken.addToken,Add Token,Token hinzufügen,添加令牌,토큰 추가하기,トークンを追加,Agregar token
homeToken.contract,Token Contract Address,Token-Vertragsadresse,代币合约地址,토큰 계약 주소,トークン契約アドレス,Dirección del contrato de token
homeToken.symbol,Token Symbol,Tokensymbol,代币符号,토큰 심볼,トークン記号,Símbolo de token
homeToken.name,Token Name,Token Name,代币名称,토큰 이름,トークン名,Nombre del token
homeToken.decimal,Decimals of Precision,Dezimalstellen der Präzision,小数精度,정밀도의 소수,精度の小数,Decimales de precisión
homeToken.cancel,Cancel,Stornieren,取消,취소,キャンセル,Cancelar
homeToken.next,Next,Nächster,下一个,다음,次,Siguiente
homeToken.likeToAddToken,Would you like to add this Token?,Möchten Sie dieses Token hinzufügen?,您要添加此令牌吗？,이 토큰을 추가 하시겠습니까?,このトークンを追加しますか？,¿Le gustaría agregar este token?
homeToken.token,Token,Zeichen,代币,토큰,トークン,Simbólico
homeToken.balance,Balance,Gleichgewicht,平衡,밸런스,残高,Equilibrar
homeToken.back,Back,Zurück,背部,뒤,バック,atrás
homeToken.hideTokenDesc,You can add this Token back in the future by clicking on “Add Token” in the wallet homepage.,"Sie können dieses Token in Zukunft wieder hinzufügen, indem Sie auf der Brieftaschen-Homepage auf ""Token hinzufügen"" klicken.",您可以在将来通过在钱包主页上单击“添加令牌”来添加此令牌。,"지갑 홈페이지에서 ""토큰 추가""를 클릭하여 나중에이 토큰을 다시 추가 할 수 있습니다.",ウォレットのホームページで「トークンの追加」をクリックすると、将来このトークンを追加し直すことができます。,"Puede volver a agregar este token en el futuro haciendo clic en ""Agregar token"" en la página de inicio de la billetera."
homeToken.hideToken,Hide Token,Token ausblenden,隐藏令牌,토큰 숨기기,トークンを隠す,Ocultar token
homeToken.hideTokens,Hide Tokens,Token verstecken,隐藏令牌,토큰 숨기기,トークンを隠す,Ocultar tokens
homeToken.editTokens,Edit Tokens,Token bearbeiten,编辑令牌,토큰 편집,トークンの編集,Editar tokens
homeToken.likeToHideToken,Would you like to hide this Token?,Möchten Sie dieses Token verstecken?,您要隐藏此令牌吗？,이 토큰을 숨기시겠습니까?,このトークンを非表示にしますか？,¿Le gustaría ocultar este token?
homeToken.didNotSee,Did not see your new Token?,Hast du dein neues Token nicht gesehen?,没有看到您的新令牌？,새 토큰을 보지 못하셨습니까?,新しいトークンが表示されませんでしたか？,¿No vio su nuevo Token?
homeToken.duplicateToken,This token already exists,Dieses Token ist bereits vorhanden,该令牌已存在,이 토큰은 이미 존재합니다.,このトークンはすでに存在します,Este token ya existe
homeToken.invalidContractAddress,This contract address is invalid,Dieses Token ist bereits vorhanden,该令牌已存在,이 토큰은 이미 존재합니다.,このトークンはすでに存在します,Este token ya existe
homeAssets.didNotSee,Did not see your collectibles?,Sie haben Ihre Sammlerstücke nicht gesehen?,没有看到您的收藏品？,수집품을 보지 못하셨나요?,あなたの収集品を見ませんでしたか？,¿No viste tus coleccionables?
homeAssets.add,Add Collectible,Sammlerstück hinzufügen,添加收藏品,수집품 추가,収集品を追加する,Agregar coleccionable
homeAssets.formTitle,Custom Collectible,Benutzerdefiniertes Sammlerstück,定制收藏品,커스텀 수집품,カスタムコレクタブル,Coleccionable personalizado
homeAssets.contractAddress,NFT Contract Address,NFT-Vertragsadresse,NFT 合约地址,NFT 계약 주소,NFT契約アドレス,Dirección del contrato NFT
homeAssets.tokenId,Token ID,Token-ID,令牌标识,토큰 ID,トークンID,ID de token
homeAssets.tokenName,Token Name,Token-Name,代币名称,토큰 이름,トークン名,Nombre del token
homeAssets.infoTitle,Would you like to add this Collectible?,Möchten Sie dieses Sammlerstück hinzufügen?,您想添加此收藏品吗？,이 수집품을 추가하시겠습니까?,この収集品を追加しますか？,¿Le gustaría agregar este coleccionable?
homeAssets.infoCollectible,Collectible,Sammlerstück,收藏品,수집품,コレクタブル,Coleccionable
homeAssets.infoId,ID,ICH WÜRDE,ID,ID,ID,IDENTIFICACIÓN
homeAssets.infoContractAdd,Contract address,Vertragsadresse,合约地址,계약 주소,契約住所,Dirección del contrato
homeAssets.infoExplorer,Block explorer,Explorer blockieren,区块浏览器,블록 탐색기,ブロックエクスプローラー,Explorador de bloques
homeAssets.infoDesc,Description,Beschreibung,描述,설명,説明,Descripción
homeAssets.viewMore,View more,Mehr sehen,查看更多,더보기,もっと見る,Ver más
homeAssets.viewLess,View less,Weniger anzeigen,少看,적게보기,表示を減らす,Ver menos
homeAssets.duplicateNft,This nft already exists.,Diese Nft existiert bereits.,这个 nft 已经存在。,이 nft는 이미 존재합니다.,このnftはすでに存在します。,Esta nft ya existe.
homeAssets.invalidContractAddress,This contract address is invalid,Diese Vertragsadresse ist ungültig,此合約地址無效,이 계약 주소가 잘못되었습니다.,この契約アドレスは無効です,Esta dirección de contrato no es válida
homeAssets.invalidOwnership,You don't own this nft.,Sie besitzen dieses NFT nicht.,你不拥有这个 nft。,당신은 이 nft를 소유하고 있지 않습니다.,あなたはこのnftを所有していません。,No eres dueña de esta nft
homeAssets.unSupportedStandard,Unsupported nft contract standard.,Nicht unterstützter NFT-Vertragsstandard.,不受支持的 nft 合同标准。,지원되지 않는 nft 계약 표준입니다.,サポートされていないnft契約標準。,Estándar de contrato nft no admitido.
homeAssets.noOwnership,You don't own this nft.,Sie besitzen dieses NFT nicht.,你不拥有这个 nft。,당신은 이 nft를 소유하고 있지 않습니다.,あなたはこのnftを所有していません。,No eres dueña de esta nft.
homeAssets.nonExistentTokenId,This token id doesn't exist.,This token id doesn't exist.,此令牌 ID 不存在。,이 토큰 ID는 존재하지 않습니다.,このトークンIDは存在しません。,Esta identificación de token no existe.
walletDiscover.loading,Please wait while we fetch data from our servers.,"Bitte warten Sie, während wir Daten von unseren Servern abrufen.",我们正在从我们的服务器获取数据，请稍候。,서버에서 데이터를 가져오는 동안 기다려 주십시오.,サーバーからデータを取得するまでお待ちください。,Espere mientras buscamos datos de nuestros servidores.
walletDiscover.noData,No Dapp found for current query.,Kein Dapp für die aktuelle Abfrage gefunden.,没有找到当前查询的 Dapp,현재 쿼리에 대한 Dapp을 찾을 수 없습니다.,現在のクエリのDappが見つかりません。,No se encontró Dapp para la consulta actual.
homeToken.noRate,Rate currently unavailable.,Preis derzeit nicht verfügbar.,價格目前不可用。,현재 요금을 사용할 수 없습니다.,現在、料金はご利用いただけません。,Tarifa actualmente no disponible.
walletDiscover.redirecting,Redirecting to {url},Weiterleitung an {url},重定向到 {url},{url}로 리디렉션,{url}にリダイレクトする,Redireccionando a {url}
walletNft.youHave,You have,Sie haben,你有,너는 가지고있다,あなたが持っている,tú tienes
walletNft.failNftLoad,"Failed to load popular NFT projects, please try again later.",Beliebte NFT-Projekte konnten nicht geladen werden. Bitte versuchen Sie es später erneut.,加载热门 NFT 项目失败，请稍后重试。,인기 있는 NFT 프로젝트를 로드하지 못했습니다. 나중에 다시 시도해 주세요.,人気のあるNFTプロジェクトを読み込めませんでした。しばらくしてからもう一度お試しください。,"No se pudieron cargar proyectos populares de NFT, inténtelo de nuevo más tarde."
walletNft.popularProjects,You might be keen to check out some of the popular NFT projects.,Vielleicht möchten Sie sich einige der beliebten NFT-Projekte ansehen.,您可能热衷于查看一些流行的 NFT 项目。,인기 있는 NFT 프로젝트를 확인하고 싶을 수도 있습니다.,人気のあるNFTプロジェクトのいくつかをチェックしたいと思うかもしれません。,Es posible que desee ver algunos de los proyectos populares de NFT.
walletNft.loadingProjects,Loading popular NFT projects.,Beliebte NFT-Projekte werden geladen.,人気のあるNFTプロジェクトを読み込んでいます。,인기 있는 NFT 프로젝트를 로드 중입니다.,人気のあるNFTプロジェクトを読み込んでいます。4,Cargando proyectos populares de NFT.
walletNft.solscan,View on Solscan.,Blick auf Solscan.,在 Solscan 上查看。,솔스캔에서 봅니다.,Solscanで表示します。,Ver en Solscan.
walletNft.properties,Properties,Eigenschaften,特性,속성,プロパティ,Propiedades
walletHome.scanAndPay,Scan & Pay,Scannen und bezahlen,扫码支付,스캔 및 지불,スキャン＆ペイ,Escanear y pagar
