name,english,german,mandarin,korean,japanese,spanish
walletActivity.cancelModalDesc,I confirm that this request would incur a transaction fee of ,"Ich bestätige, dass für diese Anfrage eine Transaktionsgebühr von . anfallen würde",我确认此请求将产生交易费用,본인은 이 요청에 거래 수수료가 부과됨을 확인합니다.,このリクエストには、以下の取引手数料がかかることを確認します,Confirmo que esta solicitud incurriría en una tarifa de transacción de
walletActivity.cancelModalNote,The transaction fee will not be charged if this request is unsuccesful.,"Die Transaktionsgebühr wird nicht erhoben, wenn diese Anfrage nicht erfolgreich ist.",如果此请求不成功，则不会收取交易费用。,이 요청이 성공하지 못한 경우 거래 수수료가 부과되지 않습니다.,このリクエストが失敗した場合、取引手数料は請求されません。,No se cobrará la tarifa de transacción si esta solicitud no es satisfactoria.
walletActivity.cancelModalClose,Close,Schließen,关闭,닫기,閉じる,Cerca
walletActivity.cancelModalConfirm,Confirm,Bestätigen,确认,확인,確認,Confirmar
walletActivity.cancelDate,Cancellation initiated on,Kündigung eingeleitet am,取消开始于,취소 시작 날짜,キャンセルが開始されました,Cancelación iniciada el
walletActivity.cancelButton,Cancel Transaction,Transaktion abbrechen,取消交易,거래 취소,トランザクションのキャンセル,Cancelar transacción
walletActivity.cancelButtonTooltip,Canceling this Transaction will cost,Die Stornierung dieser Transaktion kostet Transaction,取消此交易将花费,이 거래를 취소하면 비용이 발생합니다.,この取引をキャンセルすると費用がかかります,Cancelar esta transacción costará
walletActivity.cancelButtonTooltipDisabled,Transaction can be cancelled only after,Die Transaktion kann erst nach storniert werden,交易完成后才能取消,이후에만 거래를 취소할 수 있습니다.,取引はその後にのみキャンセルできます,La transacción se puede cancelar solo después de
walletActivity.cancelModalTitle,Cancellation status,Stornierungsstatus,取消状态,취소 상태,キャンセル状況,Estado de cancelación
walletActivity.cancelModalDesc,Your request to cancel the following transaction was,"Ihre Anfrage, die folgende Transaktion zu stornieren, lautete",您取消以下交易的请求是,다음 거래 취소 요청은 다음과 같습니다.,次の取引をキャンセルするリクエストは,Su solicitud para cancelar la siguiente transacción fue
walletActivity.cancelModalUnsuccessful,unsuccessful,erfolglos,不成功,실패,失敗しました,fracasado
walletActivity.cancelModalNote,No transaction fees will be charged.,Es werden keine Transaktionsgebühren erhoben.,不会收取任何交易费用。,거래 수수료는 부과되지 않습니다.,取引手数料はかかりません。,No serán agregados costos por transacción.
walletActivity.viewMore,View more,Mehr sehen,查看更多,더보기,もっと見る,Ver más
